letter,position,percent1,delta,x,y
m,4,0.191780822,0.04109589,3,4
i,8,0.2,0.066666667,4,2
l,4,0.033333333,0.033333333,1,1
v,6,0.078947368,0.026315789,4,2
z,2,0.186046512,0.046511628,4,3
b,4,0.166666667,0.05,7,3
w,6,0.044776119,-0.791044776,10,0
g,8,0.230769231,0.076923077,8,2
p,4,0.272727273,0.03030303,3,6
m,6,0.219178082,0.04109589,3,5
t,8,0.027027027,0.027027027,1,1
r,4,0.185185185,0.037037037,2,3
f,4,0.06,0.02,1,12
c,8,0.113636364,0.022727273,2,7
t,4,0.162162162,0.027027027,1,6
t,1,0.135135135,0.108108108,6,0
i,8,0.166666667,0.166666667,5,1
z,4,0.093023256,0.093023256,4,1
n,2,0.074074074,0.074074074,6,1
g,6,0.166666667,0.025641026,2,5
a,6,0.12,0.08,4,1
i,8,0.1,0.033333333,2,2
t,4,0.243243243,0.108108108,3,3
y,6,0.274509804,0.039215686,8,3
h,4,0.244897959,0.020408163,2,11
f,4,0.18,0.1,7,2
e,8,0.3125,0.145833333,8,2
b,6,0.266666667,0.033333333,2,12
c,8,0.181818182,0.045454545,4,3
d,2,0.136363636,0.015151515,2,9
f,6,0.14,0.06,4,2
l,2,0.033333333,0.033333333,2,1
l,2,0.1,0.033333333,2,3
n,2,0.259259259,0.055555556,4,5
r,8,0.111111111,0.111111111,5,1
m,6,0.04109589,0.01369863,1,2
j,8,0.166666667,0.047619048,3,3
e,8,0.25,0.041666667,3,7
m,4,0.164383562,0.164383562,12,1
f,2,0.14,0.04,3,3
c,6,0.181818182,0.113636364,6,1
i,1,0.033333333,0.033333333,6,0
p,6,0.060606061,0.015151515,0,11
s,8,0.23255814,0.023255814,2,7
r,8,0.148148148,0.037037037,4,3
v,7,0.289473684,0.105263158,0,8
d,4,0.045454545,0.045454545,9,1
z,2,0.069767442,0.023255814,2,6
u,4,0.191489362,0.021276596,2,6
f,8,0.22,0.06,5,7
v,8,0.105263158,0.052631579,6,1
j,4,0.166666667,0.047619048,3,2
b,8,0.05,-0.883333333,8,0
g,4,0.179487179,0.08974359,9,1
r,1,0.148148148,0.074074074,7,0
v,7,0.184210526,0.078947368,0,7
r,6,0.074074074,0.037037037,1,7
q,2,0.029850746,0.014925373,2,1
g,6,0.217948718,0.064102564,6,2
a,8,0.18,0.02,3,4
b,2,0.266666667,0.05,4,9
s,8,0.255813953,0.093023256,5,2
h,2,0.163265306,0.040816327,7,4
g,4,0.115384615,0.025641026,1,9
w,8,0.119402985,0.044776119,3,7
y,6,0.098039216,0.019607843,1,11
s,2,0.255813953,0.093023256,5,3
u,4,0.042553191,0.042553191,1,1
r,7,0.296296296,0.074074074,0,8
v,2,0.131578947,0.026315789,2,3
j,8,0.214285714,0.047619048,4,3
p,8,0.045454545,-0.651515152,7,0
q,8,0.149253731,0.074626866,8,1
c,6,0.272727273,0.022727273,2,7
q,8,0.149253731,0.074626866,8,1
f,6,0.22,0.04,3,5
l,2,0.233333333,0.133333333,5,2
y,8,0.039215686,0.019607843,1,11
p,6,0.075757576,-0.575757576,6,0
s,8,0.046511628,-0.418604651,4,0
o,6,0.16,0.12,8,1
r,6,0.111111111,0.037037037,2,2
c,6,0.045454545,-0.454545455,4,0
u,2,0.319148936,0.085106383,8,3
z,2,0.139534884,0.069767442,4,2
k,4,0.047619048,0.047619048,3,1
m,2,0.273972603,0.136986301,11,2
c,4,0.272727273,0.090909091,5,3
d,3,0.151515152,0.045454545,0,8
k,6,0.206349206,0.047619048,3,4
y,4,0.176470588,0.078431373,6,1
f,2,0.2,0.12,6,2
d,2,0.181818182,0.03030303,3,6
b,4,0.166666667,0.05,7,3
c,4,0.045454545,0.022727273,2,2
o,2,0.26,0.06,3,5
f,4,0.18,0.02,2,10
v,4,0.078947368,0.078947368,3,1
j,2,0.119047619,0.023809524,2,5
o,2,0.1,0.02,1,7
b,8,0.15,0.033333333,2,5
q,8,0.089552239,0.044776119,3,1
z,4,0.279069767,0.139534884,6,2
l,6,0.1,0.1,3,1
i,8,0.3,0.033333333,2,8
a,8,0.26,0.04,4,4
a,8,0.26,0.04,5,3
v,6,0.052631579,0.026315789,4,1
o,2,0.26,0.08,6,3
x,4,0.106382979,0.106382979,4,1
c,4,0.136363636,0.045454545,2,4
p,6,0.212121212,0.03030303,3,4
z,8,0.046511628,0.023255814,2,2
f,2,0.26,0.04,4,6
w,6,0.298507463,0.104477612,9,3
r,2,0.148148148,0.074074074,2,2
z,6,0.046511628,0.023255814,1,2
w,6,0.149253731,0.074626866,8,2
f,4,0.14,0.02,2,8
j,8,0.214285714,0.023809524,2,9
i,5,0.1,0.1,5,0
t,4,0.027027027,0.027027027,0,3
v,2,0.078947368,0.078947368,4,1
r,2,0.074074074,0.074074074,2,1
g,3,0.179487179,0.08974359,0,6
x,6,0.191489362,0.191489362,8,1
q,4,0.298507463,0.059701493,4,6
s,8,0.139534884,0.069767442,3,2
o,8,0.28,0.12,7,2
v,8,0.052631579,-0.421052632,5,0
n,4,0.055555556,0.055555556,2,1
p,5,0.060606061,0.060606061,5,0
a,2,0.24,0.06,3,8
d,8,0.181818182,0.015151515,2,10
h,4,0.183673469,0.040816327,6,4
x,4,0.276595745,0.063829787,2,8
w,6,0.044776119,0.029850746,5,1
x,3,0.29787234,0.127659574,0,7
n,4,0.259259259,0.037037037,2,6
s,6,0.11627907,0.023255814,1,5
g,2,0.269230769,0.038461538,5,5
v,8,0.105263158,0.052631579,6,1
f,4,0.08,0.08,7,1
o,4,0.14,0.06,3,3
s,4,0.209302326,0.023255814,2,5
t,8,0.081081081,0.054054054,2,1
k,4,0.285714286,0.079365079,6,5
q,8,0.268656716,0.029850746,3,7
f,6,0.28,0.06,5,4
s,4,0.186046512,0.069767442,3,3
h,8,0.183673469,0.040816327,5,3
e,6,0.270833333,0.020833333,2,8
a,8,0.12,0.1,5,1
f,2,0.2,0.12,7,2
x,4,0.212765957,0.042553191,2,7
a,8,0.26,0.04,5,3
n,4,0.037037037,0.037037037,1,1
l,2,0.2,0.1,4,2
j,2,0.119047619,0.023809524,2,5
s,4,0.279069767,0.046511628,2,7
l,8,0.233333333,0.066666667,3,3
g,4,0.08974359,0.025641026,2,3
k,2,0.063492063,0.015873016,2,11
j,8,0.214285714,0.023809524,2,9
m,6,0.109589041,0.04109589,4,2
t,1,0.027027027,0.027027027,5,0
d,2,0.303030303,0.045454545,5,6
u,2,0.212765957,0.063829787,6,3
d,4,0.106060606,0.03030303,6,3
v,8,0.052631579,-0.894736842,8,0
f,4,0.24,0.04,2,12
d,2,0.272727273,0.045454545,4,6
y,2,0.078431373,-0.31372549,5,0
e,6,0.3125,0.145833333,8,2
o,2,0.04,0.02,2,2
y,2,0.156862745,0.039215686,3,2
t,2,0.189189189,0.027027027,2,5
i,6,0.066666667,0.033333333,0,7
e,4,0.041666667,0.020833333,2,2
d,6,0.060606061,-0.53030303,6,0
e,8,0.25,0.0625,4,5
q,8,0.119402985,0.059701493,4,1
k,8,0.174603175,0.015873016,4,6
r,4,0.037037037,0.037037037,1,1
g,8,0.115384615,0.038461538,3,3
s,8,0.279069767,0.093023256,4,3
a,4,0.18,0.04,2,6
i,8,0.2,0.066666667,4,2
t,6,0.027027027,-0.243243243,2,0
b,8,0.233333333,0.05,3,5
h,6,0.040816327,0.040816327,2,1
k,4,0.126984127,0.015873016,1,7
i,8,0.1,0.033333333,2,2
r,7,0.222222222,0.074074074,0,7
l,7,0.266666667,0.066666667,0,8
u,8,0.255319149,0.021276596,2,8
a,2,0.12,0.06,5,2
n,6,0.055555556,0.055555556,2,1
m,6,0.068493151,0.02739726,2,2
b,4,0.3,0.1,7,5
b,4,0.116666667,0.066666667,4,2
d,8,0.136363636,0.03030303,3,3
u,2,0.212765957,0.042553191,3,5
c,8,0.136363636,0.022727273,3,4
f,1,0.3,0.1,9,0
c,2,0.25,0.022727273,5,5
u,6,0.255319149,0.042553191,4,4
z,8,0.093023256,0.023255814,2,7
h,2,0.163265306,0.081632653,5,6
j,8,0.071428571,0.023809524,2,3
i,4,0.133333333,0.033333333,2,3
g,4,0.064102564,0.025641026,2,2
l,2,0.066666667,0.066666667,3,1
o,2,0.12,0.04,2,4
o,4,0.12,0.04,2,4
t,2,0.054054054,0.054054054,4,1
u,8,0.234042553,0.042553191,3,3
y,6,0.098039216,0.019607843,1,11
t,6,0.27027027,0.027027027,1,9
q,2,0.119402985,0.014925373,2,7
n,4,0.111111111,0.055555556,2,2
j,4,0.166666667,0.047619048,4,2
v,2,0.157894737,0.078947368,4,2
z,4,0.255813953,0.046511628,2,8
n,6,0.240740741,0.037037037,2,6
w,6,0.164179104,0.044776119,3,7
m,2,0.273972603,0.136986301,11,2
f,4,0.04,0.04,5,1
d,4,0.075757576,0.015151515,5,4
v,2,0.184210526,0.184210526,8,1
j,4,0.261904762,0.023809524,2,6
y,2,0.137254902,0.019607843,2,4
z,1,0.11627907,0.11627907,7,0
l,8,0.133333333,0.133333333,5,1
u,8,0.234042553,0.085106383,4,2
q,8,0.253731343,0.044776119,4,4
a,6,0.14,0.04,2,3
k,2,0.26984127,0.047619048,6,7
g,8,0.320512821,0.038461538,5,6
k,8,0.206349206,0.095238095,7,2
i,8,0.2,0.033333333,2,5
i,6,0.2,0.066666667,3,2
g,3,0.256410256,0.076923077,0,7
z,2,0.209302326,0.046511628,3,7
n,6,0.222222222,0.092592593,6,2
d,4,0.151515152,0.045454545,2,9
x,6,0.212765957,0.021276596,3,4
d,4,0.287878788,0.045454545,5,8
i,2,0.066666667,0.066666667,3,1
e,6,0.0625,-0.8125,7,0
w,6,0.268656716,0.044776119,4,7
j,6,0.30952381,0.095238095,5,2
k,8,0.095238095,0.095238095,6,1
z,2,0.069767442,0.023255814,2,6
v,6,0.026315789,0.026315789,3,3
r,6,0.111111111,0.037037037,1,8
n,4,0.092592593,0.092592593,4,1
r,1,0.148148148,0.074074074,7,0
z,1,0.11627907,0.11627907,7,0
r,6,0.111111111,0.037037037,1,8
p,6,0.121212121,0.060606061,3,1
d,4,0.287878788,0.090909091,8,5
t,4,0.216216216,0.027027027,1,8
a,2,0.28,0.08,7,3
v,6,0.052631579,0.026315789,3,4
p,6,0.181818182,0.03030303,6,2
a,6,0.14,0.04,2,3
b,4,0.2,0.033333333,6,4
b,4,0.066666667,0.016666667,1,3
m,8,0.232876712,0.082191781,11,2
h,8,0.081632653,0.020408163,2,3
b,4,0.2,0.033333333,8,4
g,4,0.115384615,0.025641026,2,4
d,8,0.090909091,0.060606061,4,1
q,8,0.149253731,0.074626866,9,1
k,2,0.222222222,0.047619048,4,11
i,6,0.166666667,0.166666667,4,1
q,2,0.313432836,0.044776119,4,6
d,2,0.090909091,0.015151515,2,6
s,8,0.279069767,0.069767442,3,4
k,4,0.158730159,0.047619048,3,3
w,2,0.119402985,0.119402985,9,1
d,8,0.242424242,0.045454545,4,4
x,2,0.106382979,0.042553191,4,2
p,2,0.196969697,0.03030303,2,6
m,4,0.164383562,0.082191781,5,2
x,5,0.042553191,0.042553191,5,0
l,4,0.166666667,0.033333333,1,12
x,6,0.191489362,0.085106383,4,2
y,4,0.137254902,-0.823529412,8,0
z,2,0.11627907,0.023255814,2,8
f,6,0.18,0.06,6,2
r,8,0.037037037,0.037037037,3,1
g,4,0.153846154,0.051282051,5,2
u,2,0.234042553,0.063829787,2,8
q,6,0.194029851,0.044776119,8,2
u,4,0.191489362,0.042553191,3,3
p,8,0.121212121,0.03030303,7,2
y,6,0.058823529,0.019607843,1,2
g,5,0.294871795,0.153846154,7,0
l,8,0.2,0.066666667,5,2
p,6,0.151515152,0.03030303,3,2
a,7,0.22,0.16,0,6
b,8,0.133333333,0.066666667,4,2
d,2,0.151515152,0.015151515,2,10
w,4,0.23880597,0.104477612,10,2
c,6,0.159090909,0.090909091,5,1
r,2,0.222222222,0.111111111,3,2
i,6,0.133333333,0.033333333,2,2
w,6,0.029850746,0.014925373,2,5
j,2,0.166666667,0.023809524,2,7
r,6,0.259259259,0.037037037,2,6
h,2,0.163265306,0.081632653,5,6
s,4,0.046511628,0.023255814,1,2
k,8,0.238095238,0.015873016,5,5
i,8,0.3,0.066666667,3,4
x,6,0.191489362,0.191489362,8,1
x,8,0.106382979,0.042553191,3,2
f,4,0.04,0.04,5,1
q,6,0.074626866,-0.925373134,9,0
x,8,0.191489362,0.042553191,4,3
a,4,0.22,0.12,6,2
t,4,0.027027027,0.027027027,1,2
n,2,0.111111111,0.018518519,2,7
y,8,0.098039216,0.039215686,2,10
j,2,0.214285714,0.023809524,2,9
d,4,0.136363636,0.03030303,4,7
m,8,0.150684932,0.02739726,3,5
a,8,0.16,0.12,6,1
d,6,0.060606061,-0.727272727,7,0
r,2,0.259259259,0.037037037,3,3
o,2,0.12,0.06,4,2
a,6,0.04,-0.54,5,0
m,6,0.178082192,0.068493151,7,2
w,8,0.268656716,0.044776119,5,6
n,4,0.111111111,0.018518519,1,4
b,8,0.066666667,0.05,4,1
d,8,0.272727273,0.045454545,5,4
l,2,0.233333333,0.133333333,5,2
b,8,0.033333333,-0.416666667,5,0
w,8,0.164179104,0.059701493,6,3
x,2,0.063829787,0.063829787,4,1
j,2,0.238095238,0.047619048,3,5
u,6,0.063829787,0.021276596,2,3
o,4,0.12,0.12,7,1
o,6,0.22,0.04,2,6
s,3,0.11627907,0.11627907,0,6
u,2,0.063829787,0.021276596,2,3
i,8,0.1,0.1,3,1
a,2,0.22,0.06,5,4
g,4,0.230769231,0.076923077,7,2
x,2,0.234042553,0.106382979,7,2
i,6,0.3,0.066666667,5,3
l,4,0.1,0.1,4,1
a,6,0.06,0.04,2,1
e,4,0.1875,0.083333333,4,3
t,4,0.108108108,0.027027027,1,4
q,4,0.179104478,0.044776119,5,2
l,8,0.266666667,0.066666667,5,3
p,2,0.045454545,0.015151515,1,3
i,4,0.233333333,0.066666667,4,3
j,2,0.047619048,0.023809524,2,1
l,7,0.133333333,0.133333333,0,6
e,8,0.166666667,0.041666667,3,5
e,2,0.0625,0.041666667,3,2
y,2,0.254901961,0.019607843,3,5
h,4,0.285714286,0.102040816,6,5
u,6,0.085106383,-0.659574468,7,0
e,8,0.1875,0.020833333,4,4
n,4,0.148148148,0.074074074,3,2
b,4,0.266666667,0.033333333,3,6
m,2,0.123287671,0.02739726,2,8
p,6,0.181818182,0.03030303,4,2
j,2,0.285714286,0.023809524,2,12
