letter,position,percent1,delta,x,y
g,2,0.192307692,0.051282051,6,2
o,4,0.16,0.06,4,3
f,4,0.1,0.04,2,6
z,2,0.139534884,0.139534884,7,1
g,6,0.294871795,0.076923077,6,3
t,2,0.135135135,0.081081081,4,2
y,4,0.294117647,0.039215686,4,4
y,2,0.274509804,0.019607843,3,6
h,2,0.163265306,0.081632653,5,6
x,6,0.191489362,0.085106383,4,2
g,4,0.230769231,0.076923077,7,2
o,2,0.24,0.04,2,7
x,4,0.29787234,0.127659574,7,2
m,4,0.164383562,0.164383562,13,1
o,4,0.12,0.04,2,4
r,8,0.259259259,0.074074074,5,3
f,2,0.16,0.02,3,5
c,6,0.068181818,-0.931818182,8,0
u,8,0.042553191,-0.404255319,4,0
g,8,0.192307692,0.064102564,5,3
y,6,0.039215686,0.019607843,1,1
p,8,0.045454545,0.015151515,1,7
i,8,0.3,0.066666667,5,3
x,4,0.191489362,0.085106383,4,2
o,6,0.16,0.06,3,3
l,6,0.133333333,0.033333333,2,3
p,8,0.212121212,0.075757576,6,4
y,8,0.098039216,0.058823529,7,1
h,2,0.183673469,0.102040816,6,5
t,1,0.027027027,0.027027027,5,0
h,2,0.06122449,0.020408163,6,3
s,6,0.186046512,0.023255814,2,4
l,6,0.1,0.1,3,1
j,2,0.166666667,0.047619048,5,2
n,2,0.185185185,0.055555556,5,3
q,6,0.074626866,0.044776119,4,3
f,3,0.08,0.08,0,6
j,6,0.166666667,0.023809524,0,10
c,2,0.068181818,0.045454545,3,2
s,6,0.139534884,0.023255814,1,6
w,4,0.268656716,0.029850746,4,6
k,2,0.063492063,0.031746032,7,2
w,2,0.074626866,0.074626866,6,1
a,8,0.16,0.12,6,1
q,4,0.089552239,-0.910447761,9,0
v,2,0.026315789,0.026315789,1,1
v,8,0.315789474,0.052631579,4,6
t,8,0.297297297,0.135135135,5,2
p,6,0.181818182,0.03030303,4,2
n,6,0.074074074,0.074074074,3,1
g,6,0.141025641,0.012820513,1,10
l,2,0.033333333,0.033333333,2,1
g,2,0.051282051,-0.256410256,4,0
j,6,0.238095238,0.047619048,1,10
i,2,0.133333333,0.033333333,2,5
m,2,0.191780822,0.02739726,5,5
o,3,0.22,0.1,0,7
d,8,0.257575758,0.03030303,3,7
j,8,0.047619048,-0.642857143,4,0
h,2,0.040816327,0.040816327,7,1
r,4,0.259259259,0.037037037,2,5
o,2,0.12,0.04,2,4
n,6,0.222222222,0.092592593,6,2
b,6,0.15,0.016666667,2,9
i,6,0.1,0.1,2,1
n,4,0.111111111,0.111111111,5,1
l,4,0.233333333,0.133333333,3,2
k,6,0.206349206,0.095238095,6,2
m,4,0.301369863,0.04109589,5,5
w,4,0.298507463,0.029850746,4,7
c,4,0.227272727,0.045454545,2,6
n,8,0.092592593,0.092592593,5,1
l,2,0.133333333,0.033333333,2,4
a,4,0.1,0.1,8,1
z,3,0.162790698,0.162790698,0,6
b,6,0.083333333,0.05,4,1
n,2,0.074074074,0.018518519,2,5
c,2,0.25,0.136363636,8,2
n,2,0.092592593,0.055555556,4,2
a,6,0.22,0.16,8,1
b,6,0.066666667,0.016666667,1,12
i,4,0.1,0.066666667,2,2
i,8,0.233333333,0.066666667,3,3
g,2,0.307692308,0.038461538,5,6
f,2,0.14,0.04,3,3
t,4,0.135135135,0.027027027,1,5
j,6,0.19047619,0.023809524,0,11
r,2,0.259259259,0.037037037,3,3
g,8,0.064102564,0.025641026,2,3
w,2,0.059701493,0.029850746,2,2
g,4,0.051282051,0.012820513,1,4
s,2,0.046511628,0.023255814,1,6
b,2,0.183333333,0.05,3,8
i,6,0.166666667,0.033333333,2,3
b,6,0.166666667,0.05,5,2
o,6,0.08,0.02,1,5
g,8,0.064102564,0.038461538,4,1
g,8,0.102564103,0.012820513,2,9
q,6,0.059701493,-0.731343284,7,0
d,6,0.121212121,0.015151515,1,7
c,2,0.113636364,0.113636364,7,1
d,8,0.106060606,0.015151515,2,5
c,4,0.113636364,0.113636364,6,1
u,2,0.276595745,0.042553191,4,6
u,4,0.191489362,0.042553191,3,3
k,8,0.174603175,0.047619048,3,8
z,2,0.279069767,0.139534884,7,2
q,6,0.268656716,0.044776119,4,7
b,2,0.183333333,0.033333333,2,10
a,6,0.2,0.14,7,1
r,4,0.074074074,0.074074074,2,1
h,8,0.040816327,0.040816327,2,1
u,6,0.085106383,-0.85106383,8,0
i,6,0.2,0.033333333,2,4
r,4,0.111111111,0.037037037,1,8
h,6,0.06122449,0.020408163,2,2
f,4,0.32,0.06,7,4
u,5,0.063829787,0.042553191,6,0
f,4,0.04,0.02,3,3
b,8,0.283333333,0.05,4,5
n,6,0.203703704,0.055555556,4,3
d,4,0.272727273,0.045454545,3,11
a,6,0.26,0.06,4,3
i,2,0.066666667,0.066666667,4,1
w,4,0.104477612,0.014925373,2,5
g,4,0.064102564,-0.628205128,6,0
x,4,0.063829787,0.063829787,2,1
x,4,0.085106383,0.021276596,1,7
w,4,0.223880597,0.059701493,6,3
k,4,0.301587302,0.047619048,3,6
l,2,0.266666667,0.033333333,2,8
q,8,0.268656716,0.029850746,3,7
o,6,0.22,0.06,3,4
e,8,0.166666667,0.104166667,8,1
v,8,0.052631579,-0.631578947,6,0
k,4,0.095238095,0.015873016,1,5
w,8,0.044776119,-0.925373134,12,0
e,6,0.041666667,0.020833333,1,3
r,6,0.111111111,0.111111111,3,1
a,6,0.26,0.04,2,7
h,4,0.285714286,0.040816327,2,12
y,8,0.254901961,0.039215686,7,4
d,4,0.075757576,0.03030303,1,9
o,2,0.12,0.12,8,1
w,4,0.298507463,0.029850746,4,7
a,4,0.32,0.06,5,4
l,4,0.1,0.1,3,1
x,6,0.127659574,0.042553191,1,8
w,8,0.104477612,0.029850746,4,4
z,6,0.302325581,0.046511628,4,4
i,2,0.2,0.033333333,2,7
n,6,0.203703704,0.037037037,2,5
v,8,0.210526316,0.052631579,4,4
z,4,0.255813953,0.046511628,2,8
s,2,0.23255814,0.046511628,2,7
x,4,0.063829787,0.021276596,1,2
x,4,0.234042553,0.042553191,3,4
e,6,0.1875,0.0625,3,3
c,4,0.204545455,0.068181818,4,3
v,6,0.105263158,0.052631579,8,1
j,4,0.166666667,0.071428571,2,4
t,6,0.135135135,0.054054054,2,2
n,8,0.222222222,0.092592593,7,2
x,2,0.042553191,0.021276596,2,7
a,2,0.32,0.1,8,3
c,2,0.159090909,0.090909091,5,2
a,1,0.26,0.18,8,0
t,8,0.027027027,0.027027027,1,1
c,6,0.068181818,-0.818181818,7,0
u,4,0.106382979,0.042553191,2,2
e,4,0.104166667,0.020833333,1,7
h,6,0.142857143,0.142857143,7,1
m,2,0.219178082,0.04109589,6,4
a,4,0.04,0.04,3,1
d,2,0.287878788,0.090909091,7,5
m,8,0.054794521,0.01369863,2,3
e,4,0.208333333,0.104166667,7,2
p,2,0.212121212,0.015151515,2,7
b,6,0.116666667,0.033333333,4,2
z,8,0.209302326,0.046511628,4,5
f,6,0.12,0.12,7,1
n,2,0.074074074,0.018518519,2,5
c,4,0.045454545,0.022727273,2,2
d,6,0.151515152,0.090909091,6,1
t,2,0.108108108,0.054054054,2,3
h,8,0.244897959,0.06122449,6,3
g,8,0.115384615,0.038461538,3,3
n,4,0.111111111,0.018518519,1,4
w,6,0.313432836,0.119402985,12,3
i,8,0.2,0.033333333,2,5
z,6,0.302325581,0.139534884,7,2
u,8,0.085106383,0.063829787,2,1
k,2,0.301587302,0.031746032,6,8
x,2,0.042553191,0.042553191,3,1
f,2,0.18,0.04,4,3
r,8,0.074074074,0.037037037,1,8
o,8,0.06,0.04,2,2
j,2,0.095238095,0.047619048,3,1
a,6,0.04,-0.24,3,0
x,8,0.063829787,0.021276596,2,2
z,4,0.162790698,0.023255814,2,6
e,6,0.0625,0.020833333,1,4
q,6,0.194029851,0.074626866,6,3
f,3,0.28,0.08,0,8
t,2,0.135135135,0.081081081,4,2
e,2,0.270833333,0.020833333,3,8
w,2,0.313432836,0.059701493,6,5
j,2,0.261904762,0.023809524,2,11
w,2,0.23880597,0.104477612,10,2
b,4,0.166666667,0.05,4,3
q,2,0.149253731,0.029850746,3,4
f,8,0.08,0.02,2,12
v,4,0.236842105,0.105263158,6,2
v,2,0.263157895,0.078947368,5,3
c,8,0.204545455,0.022727273,4,4
q,6,0.134328358,0.059701493,5,3
j,2,0.095238095,0.023809524,2,4
c,6,0.068181818,0.045454545,2,2
a,6,0.06,-0.68,6,0
g,6,0.179487179,0.012820513,2,6
x,6,0.212765957,0.042553191,2,7
a,2,0.2,0.1,7,2
e,6,0.3125,0.0625,3,5
y,8,0.274509804,0.039215686,4,9
u,4,0.14893617,0.063829787,4,2
f,4,0.18,0.1,7,2
p,6,0.212121212,0.03030303,3,4
o,6,0.16,0.08,4,2
v,8,0.052631579,0.026315789,3,3
f,6,0.1,0.1,5,1
c,4,0.181818182,0.045454545,2,5
d,2,0.242424242,0.03030303,3,8
a,2,0.04,0.04,4,1
u,8,0.191489362,0.063829787,3,2
y,6,0.058823529,-0.352941176,4,0
n,2,0.277777778,0.148148148,9,2
i,4,0.166666667,0.1,4,2
z,1,0.11627907,0.11627907,7,0
x,4,0.255319149,0.063829787,4,3
t,6,0.081081081,0.054054054,2,1
c,8,0.181818182,0.113636364,7,1
q,8,0.134328358,0.014925373,2,6
n,8,0.092592593,0.092592593,5,1
u,2,0.085106383,0.085106383,6,1
f,8,0.24,0.06,8,3
e,6,0.1875,0.083333333,4,2
x,6,0.127659574,0.042553191,1,8
x,6,0.063829787,0.063829787,2,1
s,2,0.255813953,0.093023256,5,3
e,4,0.270833333,0.083333333,4,4
j,6,0.19047619,0.023809524,0,11
v,1,0.157894737,0.105263158,7,0
e,4,0.208333333,0.104166667,8,2
i,6,0.133333333,0.066666667,1,7
z,4,0.162790698,0.023255814,2,6
f,7,0.12,0.12,0,6
r,6,0.259259259,0.037037037,2,6
g,6,0.243589744,0.064102564,5,3
w,8,0.044776119,0.014925373,3,5
d,8,0.136363636,0.03030303,3,3
e,6,0.3125,0.0625,4,4
a,8,0.26,0.02,3,8
o,8,0.32,0.08,6,3
q,2,0.268656716,0.029850746,3,8
z,6,0.255813953,0.046511628,2,8
k,8,0.238095238,0.063492063,6,3
x,8,0.127659574,0.127659574,6,1
u,4,0.234042553,0.021276596,2,8
b,4,0.2,0.033333333,4,4
e,4,0.104166667,0.020833333,1,7
p,4,0.318181818,0.03030303,4,6
p,6,0.212121212,0.015151515,2,9
b,2,0.183333333,0.05,3,8
a,6,0.32,0.08,5,3
b,2,0.1,0.05,8,2
d,6,0.060606061,-0.727272727,7,0
o,7,0.04,0.04,0,5
c,4,0.136363636,0.068181818,4,2
a,4,0.16,0.06,3,3
d,2,0.106060606,0.060606061,5,2
k,8,0.238095238,0.015873016,5,5
t,5,0.027027027,0.027027027,5,0
f,6,0.24,0.02,2,9
r,6,0.259259259,0.074074074,3,3
u,2,0.063829787,0.063829787,5,1
i,2,0.166666667,0.033333333,2,6
w,2,0.134328358,0.059701493,6,2
v,4,0.263157895,0.052631579,3,4
e,4,0.270833333,0.0625,3,5
g,2,0.038461538,0.012820513,1,8
x,4,0.127659574,0.042553191,1,8
s,6,0.279069767,0.046511628,2,6
f,4,0.14,0.06,3,5
p,6,0.03030303,-0.03030303,1,0
w,2,0.194029851,0.059701493,6,3
e,4,0.3125,0.125,6,3
l,2,0.166666667,0.033333333,2,5
g,8,0.064102564,-0.91025641,9,0
y,4,0.196078431,0.058823529,4,2
j,2,0.30952381,0.071428571,4,5
b,8,0.133333333,0.083333333,6,1
v,4,0.184210526,0.078947368,5,2
o,4,0.22,0.1,8,2
a,4,0.26,0.04,2,8
a,6,0.06,-0.68,6,0
q,2,0.029850746,-0.179104478,3,0
c,2,0.25,0.022727273,3,8
t,4,0.216216216,0.027027027,1,8
y,6,0.117647059,0.039215686,2,2
z,4,0.162790698,0.023255814,2,6
w,2,0.029850746,0.014925373,1,2
m,4,0.095890411,0.01369863,1,5
f,2,0.3,0.04,4,12
b,6,0.283333333,0.033333333,3,8
c,4,0.181818182,0.090909091,5,2
n,6,0.037037037,0.037037037,1,1
h,2,0.244897959,0.040816327,5,8
e,8,0.1875,0.020833333,4,4
e,8,0.104166667,0.041666667,3,3
m,6,0.260273973,0.068493151,8,3
c,8,0.204545455,0.090909091,5,2
h,8,0.244897959,0.06122449,6,3
y,8,0.196078431,0.058823529,4,7
j,6,0.30952381,0.095238095,3,2
m,4,0.219178082,0.109589041,7,2
d,4,0.106060606,0.015151515,1,11
a,2,0.16,0.04,4,4
v,6,0.105263158,0.052631579,6,1
n,6,0.240740741,0.037037037,2,6
h,4,0.040816327,0.040816327,8,1
y,8,0.058823529,0.019607843,2,9
m,2,0.315068493,0.054794521,8,4
i,2,0.066666667,0.066666667,4,1
n,8,0.240740741,0.037037037,3,6
f,2,0.2,0.12,7,2
u,2,0.170212766,0.042553191,2,7
i,8,0.233333333,0.033333333,2,6
t,4,0.324324324,0.054054054,2,6
z,4,0.162790698,0.162790698,7,1
v,4,0.026315789,0.026315789,1,1
k,8,0.031746032,0.015873016,1,8
y,8,0.098039216,0.058823529,7,1
h,4,0.040816327,0.020408163,1,12
w,6,0.223880597,0.044776119,4,6
b,8,0.116666667,0.033333333,2,4
q,8,0.149253731,0.029850746,3,3
f,8,0.12,0.04,6,2
a,6,0.06,-0.86,7,0
s,6,0.093023256,-0.837209302,6,0
