letter,position,percent1,delta,x,y
a,2,0.32,0.1,8,3
a,4,0.32,0.1,7,3
a,6,0.28,0.060000000000000026,3,4
a,4,0.32,0.06,5,4
a,2,0.32,0.03999999999999998,5,6
a,2,0.28,0.060000000000000026,5,5
a,6,0.32,0.08000000000000002,5,3
a,2,0.28,0.060000000000000026,5,5
a,4,0.32,0.1,8,3
a,8,0.28,0.12000000000000002,6,2
a,8,0.28,0.12000000000000002,6,2
a,5,0.28,0.16000000000000003,7,0
b,6,0.05,-0.5,5,0
b,2,0.05,0.01666666666666667,1,8
b,6,0.05,-0.5833333333333333,6,0
b,4,0.05,0.05,3,1
b,8,0.06666666666666667,0.016666666666666663,1,5
b,2,0.05,0.05,8,1
b,2,0.03333333333333333,0.03333333333333333,3,5
b,8,0.03333333333333333,0.016666666666666666,1,3
b,8,0.03333333333333333,0.016666666666666666,1,3
b,8,0.03333333333333333,0.016666666666666666,1,3
b,4,0.05,0.05,8,1
b,2,0.03333333333333333,0.03333333333333333,7,1
b,4,0.05,0.05,5,1
b,2,0.05,0.05,8,1
b,4,0.05,0.05,3,1
b,4,0.05,0.03333333333333334,1,2
b,8,0.06666666666666667,0.05,4,1
b,2,0.05,0.05,8,1
b,8,0.03333333333333333,0.016666666666666666,1,3
b,2,0.05,0.01666666666666667,6,3
b,4,0.05,0.05,3,1
b,8,0.05,0.01666666666666667,1,4
b,2,0.03333333333333333,0.016666666666666666,6,2
b,2,0.05,0.03333333333333334,2,6
b,2,0.03333333333333333,0.016666666666666666,1,7
b,2,0.03333333333333333,0.03333333333333333,7,1
b,6,0.05,0.03333333333333334,3,1
b,2,0.06666666666666667,0.03333333333333333,7,2
b,8,0.05,-0.6833333333333332,7,0
b,6,0.05,-0.5,5,0
b,2,0.11666666666666667,0.06666666666666667,4,6
b,8,0.1,0.06666666666666668,5,1
b,8,0.1,0.06666666666666668,5,1
b,8,0.1,0.016666666666666677,1,7
b,4,0.11666666666666667,0.03333333333333334,2,3
b,4,0.11666666666666667,0.06666666666666667,5,2
b,2,0.08333333333333333,0.049999999999999996,3,6
b,2,0.1,0.03333333333333334,7,3
b,6,0.1,0.016666666666666677,2,6
b,4,0.11666666666666667,0.03333333333333334,2,3
b,4,0.11666666666666667,0.03333333333333334,2,3
b,4,0.11666666666666667,0.03333333333333334,2,3
b,6,0.1,0.016666666666666677,2,6
b,2,0.1,0.03333333333333334,7,3
b,2,0.08333333333333333,0.016666666666666663,1,10
b,6,0.1,0.016666666666666677,2,6
b,8,0.08333333333333333,0.016666666666666663,1,6
b,2,0.08333333333333333,0.033333333333333326,2,7
b,8,0.1,0.016666666666666677,1,7
b,4,0.11666666666666667,0.06666666666666667,3,2
b,6,0.1,0.016666666666666677,2,6
b,8,0.1,0.06666666666666668,5,1
b,8,0.11666666666666667,0.03333333333333334,2,4
b,4,0.11666666666666667,0.06666666666666667,5,2
b,4,0.11666666666666667,0.03333333333333334,2,3
b,4,0.08333333333333333,0.049999999999999996,2,2
b,6,0.08333333333333333,0.033333333333333326,3,2
b,2,0.08333333333333333,0.033333333333333326,2,7
b,8,0.11666666666666667,0.03333333333333334,2,4
b,6,0.1,0.016666666666666677,2,6
b,4,0.13333333333333333,0.016666666666666663,2,4
b,6,0.15,0.033333333333333326,3,4
b,8,0.13333333333333333,0.06666666666666667,4,2
b,2,0.15,0.08333333333333333,6,5
b,6,0.15,0.033333333333333326,3,4
b,6,0.15,0.09999999999999999,8,1
b,4,0.16666666666666666,0.04999999999999999,7,3
b,2,0.15,0.08333333333333333,5,6
b,4,0.16666666666666666,0.04999999999999999,5,3
b,8,0.13333333333333333,0.05,3,3
b,4,0.16666666666666666,0.04999999999999999,7,3
b,2,0.15,0.04999999999999999,8,3
b,6,0.13333333333333333,0.016666666666666663,2,8
b,4,0.16666666666666666,0.04999999999999999,4,3
b,6,0.13333333333333333,0.08333333333333333,6,1
b,4,0.13333333333333333,0.016666666666666663,2,4
b,8,0.13333333333333333,0.05,3,3
b,4,0.16666666666666666,0.04999999999999999,7,3
b,3,0.16666666666666666,0.04999999999999999,0,8
b,2,0.13333333333333333,0.05,3,7
b,4,0.13333333333333333,0.016666666666666663,2,4
b,6,0.16666666666666666,0.04999999999999999,5,2
b,6,0.15,0.09999999999999999,8,1
b,8,0.13333333333333333,0.08333333333333333,6,1
b,8,0.16666666666666666,0.06666666666666665,5,2
b,4,0.16666666666666666,0.04999999999999999,7,3
b,6,0.16666666666666666,0.04999999999999999,5,2
b,2,0.16666666666666666,0.04999999999999999,4,7
b,6,0.16666666666666666,0.04999999999999999,5,2
b,4,0.16666666666666666,0.04999999999999999,3,3
b,8,0.18333333333333332,0.033333333333333326,2,6
b,8,0.18333333333333332,0.04999999999999999,3,4
b,2,0.2,0.05000000000000002,5,7
b,6,0.18333333333333332,0.033333333333333326,4,4
b,2,0.18333333333333332,0.033333333333333326,2,10
b,6,0.18333333333333332,0.033333333333333326,4,4
b,2,0.18333333333333332,0.033333333333333326,8,4
b,6,0.2,0.06666666666666668,6,2
b,2,0.2,0.05000000000000002,5,7
b,2,0.21666666666666667,0.033333333333333354,2,11
b,3,0.2,0.033333333333333354,0,9
b,6,0.21666666666666667,0.033333333333333354,4,5
b,8,0.21666666666666667,0.05000000000000002,5,3
b,8,0.21666666666666667,0.033333333333333354,2,7
b,4,0.2,0.033333333333333354,5,4
b,2,0.2,0.05000000000000002,5,7
b,2,0.18333333333333332,0.033333333333333326,2,10
b,2,0.18333333333333332,0.04999999999999999,3,8
b,3,0.2,0.033333333333333354,0,9
b,2,0.18333333333333332,0.033333333333333326,8,4
b,4,0.2,0.033333333333333354,3,4
b,8,0.21666666666666667,0.033333333333333354,2,7
b,8,0.18333333333333332,0.033333333333333326,2,6
b,4,0.2,0.033333333333333354,4,4
b,2,0.21666666666666667,0.05000000000000002,4,8
b,6,0.21666666666666667,0.033333333333333354,3,6
b,6,0.18333333333333332,0.033333333333333326,3,5
b,6,0.21666666666666667,0.033333333333333354,3,6
b,4,0.2,0.01666666666666669,2,8
b,6,0.2,0.06666666666666668,6,2
b,8,0.23333333333333334,0.016666666666666663,2,8
b,4,0.26666666666666666,0.033333333333333326,3,6
b,8,0.25,0.1,7,2
b,2,0.23333333333333334,0.1,7,5
b,2,0.23333333333333334,0.016666666666666663,2,12
b,2,0.23333333333333334,0.05000000000000002,3,9
b,6,0.25,0.04999999999999999,6,3
b,4,0.26666666666666666,0.016666666666666663,2,12
b,6,0.25,0.04999999999999999,6,3
b,8,0.26666666666666666,0.04999999999999999,5,4
b,6,0.23333333333333334,0.05000000000000002,2,11
b,6,0.25,0.033333333333333326,4,6
b,4,0.23333333333333334,0.033333333333333326,3,5
b,2,0.23333333333333334,0.1,7,5
b,1,0.23333333333333334,0.13333333333333333,7,0
b,5,0.26666666666666666,0.2,7,0
b,4,0.25,0.04999999999999999,4,5
b,4,0.23333333333333334,0.033333333333333326,3,5
b,4,0.26666666666666666,0.016666666666666663,2,12
b,8,0.23333333333333334,0.05000000000000002,4,4
b,4,0.26666666666666666,0.016666666666666663,2,12
b,2,0.23333333333333334,0.05000000000000002,3,9
b,8,0.26666666666666666,0.04999999999999999,5,4
b,2,0.25,0.04999999999999999,5,8
b,4,0.25,0.04999999999999999,4,5
b,8,0.26666666666666666,0.04999999999999999,5,4
b,6,0.26666666666666666,0.033333333333333326,2,12
b,4,0.26666666666666666,0.033333333333333326,3,6
b,2,0.26666666666666666,0.04999999999999999,4,9
b,4,0.25,0.04999999999999999,4,5
b,4,0.3,0.09999999999999998,8,5
b,8,0.2833333333333333,0.04999999999999999,3,6
b,8,0.2833333333333333,0.04999999999999999,3,6
b,8,0.2833333333333333,0.04999999999999999,4,5
b,2,0.2833333333333333,0.04999999999999999,3,10
b,6,0.3,0.04999999999999999,4,7
b,4,0.2833333333333333,0.08333333333333331,6,5
b,4,0.3,0.09999999999999998,7,5
b,2,0.31666666666666665,0.04999999999999999,4,10
b,2,0.31666666666666665,0.06666666666666665,6,7
b,4,0.3,0.09999999999999998,8,5
b,6,0.3,0.033333333333333326,5,6
b,6,0.3,0.033333333333333326,5,6
b,8,0.31666666666666665,0.04999999999999999,5,5
b,4,0.2833333333333333,0.08333333333333331,6,5
b,8,0.2833333333333333,0.04999999999999999,3,6
b,2,0.31666666666666665,0.06666666666666665,6,7
b,4,0.3,0.09999999999999998,8,5
b,6,0.3,0.04999999999999999,4,7
b,6,0.3,0.04999999999999999,6,4
b,6,0.3,0.033333333333333326,5,6
b,8,0.31666666666666665,0.04999999999999999,5,5
b,6,0.2833333333333333,0.033333333333333326,3,8
b,4,0.2833333333333333,0.08333333333333331,6,5
b,6,0.31666666666666665,0.033333333333333326,3,9
b,8,0.2833333333333333,0.06666666666666665,6,3
b,4,0.3,0.033333333333333326,3,7
b,2,0.3,0.04999999999999999,5,9
b,6,0.3,0.06666666666666665,7,3
b,4,0.3,0.04999999999999999,4,6
c,6,0.06818181818181818,0.04545454545454545,2,2
c,8,0.06818181818181818,0.04545454545454545,3,2
c,4,0.06818181818181818,0.06818181818181818,4,1
c,8,0.06818181818181818,0.04545454545454545,4,1
c,4,0.045454545454545456,0.022727272727272728,1,4
c,8,0.045454545454545456,-0.3409090909090909,5,0
c,8,0.06818181818181818,0.04545454545454545,3,2
c,6,0.06818181818181818,0.02272727272727272,1,4
c,2,0.06818181818181818,0.06818181818181818,5,1
c,6,0.045454545454545456,-0.45454545454545453,4,0
c,4,0.045454545454545456,0.045454545454545456,3,1
c,4,0.06818181818181818,0.06818181818181818,4,1
c,6,0.06818181818181818,0.04545454545454545,3,1
c,6,0.06818181818181818,0.02272727272727272,1,4
c,2,0.06818181818181818,0.04545454545454545,3,2
c,6,0.06818181818181818,0.04545454545454545,2,2
c,6,0.06818181818181818,-0.6818181818181819,6,0
c,8,0.06818181818181818,0.04545454545454545,3,2
c,2,0.06818181818181818,0.04545454545454545,3,2
c,4,0.045454545454545456,0.022727272727272728,1,4
c,2,0.06818181818181818,0.04545454545454545,3,2
c,6,0.06818181818181818,-0.9318181818181819,8,0
c,2,0.045454545454545456,0.022727272727272728,2,3
c,8,0.06818181818181818,-0.6363636363636365,7,0
c,2,0.045454545454545456,0.045454545454545456,4,1
c,2,0.045454545454545456,0.045454545454545456,4,1
c,4,0.045454545454545456,0.022727272727272728,1,4
c,6,0.06818181818181818,-0.8181818181818181,7,0
c,7,0.06818181818181818,0.06818181818181818,0,5
c,6,0.06818181818181818,-0.9318181818181819,8,0
c,2,0.11363636363636363,0.06818181818181818,4,2
c,8,0.11363636363636363,0.045454545454545456,3,3
c,6,0.11363636363636363,0.06818181818181818,4,1
c,4,0.11363636363636363,0.11363636363636363,7,1
c,2,0.09090909090909091,0.09090909090909091,6,1
c,6,0.11363636363636363,0.02272727272727272,1,6
c,8,0.11363636363636363,0.02272727272727272,2,7
c,4,0.11363636363636363,0.11363636363636363,8,1
c,2,0.09090909090909091,0.022727272727272735,2,6
c,4,0.09090909090909091,0.022727272727272735,1,6
c,4,0.09090909090909091,0.022727272727272735,1,6
c,6,0.09090909090909091,0.022727272727272735,1,5
c,2,0.09090909090909091,0.022727272727272735,2,6
c,1,0.11363636363636363,0.11363636363636363,7,0
c,6,0.11363636363636363,0.045454545454545456,2,3
c,4,0.11363636363636363,0.11363636363636363,8,1
c,6,0.11363636363636363,0.06818181818181818,4,1
c,4,0.09090909090909091,0.09090909090909091,5,1
c,2,0.09090909090909091,0.022727272727272735,2,6
c,4,0.11363636363636363,0.11363636363636363,8,1
c,8,0.11363636363636363,0.045454545454545456,3,3
c,2,0.11363636363636363,0.06818181818181818,4,2
c,2,0.11363636363636363,0.06818181818181818,4,2
c,2,0.09090909090909091,0.022727272727272735,2,6
c,2,0.11363636363636363,0.06818181818181818,4,2
c,2,0.11363636363636363,0.02272727272727272,2,7
c,6,0.11363636363636363,0.045454545454545456,2,3
c,4,0.11363636363636363,0.11363636363636363,6,1
c,2,0.11363636363636363,0.045454545454545456,3,3
c,4,0.11363636363636363,0.02272727272727272,1,7
c,6,0.1590909090909091,0.045454545454545456,2,4
c,2,0.1590909090909091,0.09090909090909091,5,2
c,8,0.13636363636363635,0.02272727272727272,3,4
c,4,0.1590909090909091,0.06818181818181818,3,3
c,6,0.1590909090909091,0.045454545454545456,2,4
c,4,0.1590909090909091,0.06818181818181818,3,3
c,4,0.1590909090909091,0.06818181818181818,3,3
c,8,0.13636363636363635,0.06818181818181818,4,2
c,2,0.1590909090909091,0.09090909090909091,5,2
c,6,0.1590909090909091,0.09090909090909091,5,1
c,6,0.1590909090909091,0.045454545454545456,2,4
c,2,0.13636363636363635,0.02272727272727272,3,5
c,6,0.1590909090909091,0.045454545454545456,2,4
c,2,0.13636363636363635,0.02272727272727272,3,5
c,4,0.1590909090909091,0.06818181818181818,3,3
c,2,0.13636363636363635,0.02272727272727272,3,5
c,6,0.1590909090909091,0.09090909090909091,5,1
c,6,0.13636363636363635,0.06818181818181818,3,2
c,8,0.13636363636363635,0.06818181818181818,4,2
c,6,0.1590909090909091,0.045454545454545456,2,4
c,8,0.1590909090909091,0.09090909090909091,6,1
c,6,0.1590909090909091,0.045454545454545456,2,4
c,6,0.1590909090909091,0.045454545454545456,2,4
c,4,0.13636363636363635,0.04545454545454544,2,4
c,6,0.1590909090909091,0.09090909090909091,5,1
c,6,0.1590909090909091,0.045454545454545456,2,4
c,6,0.1590909090909091,0.09090909090909091,5,1
c,4,0.13636363636363635,0.04545454545454544,2,4
c,2,0.1590909090909091,0.09090909090909091,5,2
c,8,0.13636363636363635,0.02272727272727272,3,4
c,8,0.20454545454545456,0.022727272727272735,4,4
c,2,0.18181818181818182,0.06818181818181819,4,3
c,7,0.18181818181818182,0.11363636363636365,0,6
c,6,0.20454545454545456,0.04545454545454547,2,5
c,8,0.20454545454545456,0.09090909090909093,5,2
c,2,0.18181818181818182,0.04545454545454547,3,6
c,8,0.20454545454545456,0.022727272727272735,4,4
c,6,0.18181818181818182,0.11363636363636365,6,1
c,8,0.18181818181818182,0.04545454545454547,3,6
c,2,0.20454545454545456,0.022727272727272735,4,5
c,2,0.18181818181818182,0.06818181818181819,4,3
c,2,0.18181818181818182,0.04545454545454547,3,6
c,2,0.18181818181818182,0.04545454545454547,3,6
c,6,0.18181818181818182,0.11363636363636365,7,1
